from,to,cost
1,100,0.39690044621696385
1,157,0.4537102632515595
1,166,0.36179523134590585
1,1979,0.5162488009043442
1,2,0.4419838557626934
1,2001,0.3580246485517822
1,2027,0.5256829795760647
1,2028,0.5674659524476533
1,2050,0.6163779566152914
1,2074,0.5124850578665137
1,2129,0.428874164211691
1,2142,0.20405357051780804
1,2180,0.5780108697385264
1,2230,0.3974409860649306
1,2236,0.41824447422281374
1,2241,0.5937412645551019
1,2252,0.5157376593858053
1,2271,0.39283517353832653
1,2304,0.37941801608151615
1,2352,0.35911812627534956
1,2415,0.3620639846776996
1,2422,0.6481055206116442
1,2459,0.49407735393330987
1,2460,0.42788565068609263
1,2463,0.6550154789459478
1,2466,0.4576689751849541
1,2475,0.6261720356924341
1,2493,0.3671759236472142
1,2555,0.4539230313435969
1,2594,0.49168201934163913
1,2601,0.33230180510967566
1,2648,0.6424012995407922
1,2709,0.40328749128907093
1,2736,0.3771396210086524
1,2812,0.40077179669737306
1,2916,0.6094771636293472
1,2920,0.5459918163419233
1,2938,0.6264397623880005
1,300014,0.3256943469949184
1,300015,0.4106011102067869
1,300033,0.4763591977878989
1,300059,0.40287871151791976
1,300122,0.4458950099093305
1,300124,0.5395306381359397
1,300274,0.4130770093378111
1,300308,0.4793246928319088
1,300316,0.41305062426126793
1,300347,0.4447923221325515
1,300394,0.4785782710019595
1,300408,0.5391382912726177
1,300413,0.6753539235341336
1,300418,0.3832134844665639
1,300433,0.4818459361134606
1,300442,0.5976131442466988
1,300450,0.35742793175202103
1,300498,0.6156021191623268
1,300502,0.5360046604144226
1,300628,0.42995181264335314
1,300750,0.34405885757557875
1,300759,0.40856624359101756
1,300760,0.5963153689667231
1,300782,0.5836491333456153
1,300832,0.5922785132741518
1,300896,0.5190503625057481
1,300999,0.41855519741168956
1,301,0.4348532715695498
1,333,0.32814111065293006
1,338,0.39484704960146155
1,3816,0.40410742848984305
1,408,0.42777730751488063
1,425,0.48077022952886606
1,538,0.3738492392332148
1,568,0.41650959917602803
1,596,0.5821788748573725
1,600000,0.31820325807712657
1,600009,0.3442495821041264
1,600010,0.5890907875161646
1,600011,0.3646607660183385
1,600015,0.4571415592234309
1,600016,0.37237607018487406
1,600018,0.3992945718600618
1,600019,0.4633280767564446
1,600023,0.5375948907320103
1,600025,0.5257007752557826
1,600026,0.40276034024626095
1,600027,0.44488174554573623
1,600028,0.25624074242675454
1,600029,0.47700255389840795
1,600030,0.3228981461725302
1,600031,0.4901603540266867
1,600036,0.2266354258571549
1,600048,0.5502597972840098
1,600050,0.30530518565985676
1,600061,0.3715074034893262
1,600066,0.6121689235969214
1,600085,0.4346098514890391
1,600089,0.31574995232105263
1,600104,0.38861546213351583
1,600115,0.5018687016283168
1,600150,0.5096391054064424
1,600160,0.4904766796995842
1,600161,0.647668011820167
1,600176,0.37504307237081913
1,600183,0.6404279029501327
1,600188,0.3002786187039208
1,600196,0.35477206604063016
1,600219,0.4506217030808395
1,600233,0.41211243515795704
1,600276,0.5386570477038153
1,600309,0.40147315632486724
1,600332,0.38232799130511674
1,600346,0.4088695688232443
1,600362,0.3936197153186263
1,600372,0.5247303571461155
1,600406,0.6298979977454087
1,600415,0.6289835506092694
1,600426,0.43561931792058217
1,600436,0.4908065061493938
1,600438,0.4974411075822325
1,600460,0.5243059928025782
1,600482,0.5289213095296734
1,600489,0.6826547061097494
1,600515,0.5623553808439596
1,600519,0.4162315231091275
1,600570,0.48658950460036365
1,600584,0.5045202649798035
1,600585,0.500022117684104
1,600588,0.6276803870067922
1,600600,0.6049818937395582
1,600660,0.43402239746790905
1,600674,0.6965738005753783
1,600690,0.3680478548833953
1,600741,0.40300071557599193
1,600745,0.5065282912927123
1,600795,0.42462884568405934
1,600803,0.5184568378085425
1,600809,0.6459247878663452
1,600845,0.47201098080610593
1,600875,0.3918020822534778
1,600886,0.4642990695768626
1,600887,0.5590555988833376
1,600905,0.43906600986165034
1,600918,0.36958744315010184
1,600919,0.4012309538909814
1,600926,0.30027498359868654
1,600938,0.2885242231424985
1,600958,0.3569494473706367
1,600989,0.49532620854239595
1,600999,0.2617006600338506
1,601006,0.5690402618779181
1,601009,0.29533139096770045
1,601012,0.4258586398603845
1,601021,0.5712705606525428
1,601058,0.5167749144390767
1,601059,0.4057339318458697
1,601066,0.37937518686811533
1,601088,0.5286541560657481
1,601100,0.5916773018315911
1,601111,0.5068676483232442
1,601117,0.4338413673731615
1,601127,0.5414173292702691
1,601136,0.3639713576445299
1,601138,0.5839363587410142
1,601166,0.2474108402602606
1,601169,0.31858746820711037
1,601186,0.26725949983429587
1,601211,0.3085944885264058
1,601225,0.39471014296082474
1,601229,0.5153966591272895
1,601236,0.38270861050275784
1,601238,0.38812211526413853
1,601288,0.4678315377844807
1,601318,0.20864880536768793
1,601319,0.33935938924208986
1,601328,0.3234011517079687
1,601336,0.3277129701169619
1,601360,0.5053514445028071
1,601377,0.34130158943290934
1,601390,0.3211595344027508
1,601398,0.4910080594192171
1,601600,0.39793754322066455
1,601601,0.34010144735651815
1,601607,0.3195626864325011
1,601618,0.32174914924655795
1,601628,0.33031869083347276
1,601633,0.36613218899190336
1,601658,0.4063595746912745
1,601668,0.35350819508012843
1,601669,0.30497544559454026
1,601688,0.31684643342085816
1,601689,0.6452038965812299
1,601698,0.5694119030077266
1,601699,0.32036025267961865
1,601728,0.5842215140362435
1,601766,0.4836954860176429
1,601788,0.3068649281276905
1,601799,0.5763529222689125
1,601800,0.33852410191996163
1,601808,0.3321076064745577
1,601816,0.5555337806622462
1,601818,0.35288617394697264
1,601838,0.3782356910249214
1,601857,0.2871027764181546
1,601865,0.486893121837943
1,601868,0.48803300143262085
1,601872,0.48907489210719035
1,601877,0.32737262539011613
1,601878,0.34335225863573005
1,601881,0.43184289663730446
1,601888,0.6021035382255624
1,601898,0.3244038046636578
1,601899,0.465728454705136
1,601901,0.3530143742154598
1,601916,0.46747585067617203
1,601919,0.3771457010709469
1,601939,0.5574416873329894
1,601985,0.34972974533619305
1,601988,0.48713321890966543
1,601989,0.5261679001884041
1,601995,0.3503069260503797
1,601998,0.30439248506590066
1,603019,0.4696901938008392
1,603195,0.6011431176697617
1,603259,0.5071385040612766
1,603260,0.5262821576528001
1,603288,0.5226601112750445
1,603296,0.6734210630345161
1,603369,0.6566487602831312
1,603392,0.5442794697686284
1,603501,0.5948720932026685
1,603659,0.504557640843438
1,603799,0.5114046002168353
1,603806,0.514746462561531
1,603986,0.65345973019148
1,603993,0.46498257900887185
1,605117,0.5015683616637989
1,617,0.637133890986241
1,625,0.3081706684559887
1,63,0.42775050555627525
1,630,0.396006220045533
1,651,0.47792717688362674
1,661,0.5387077899561385
